Word;Translation;Sentence;SentenceTranslation
opowieścią;a story;NO_TR;NO_TR
bachorze;brats;NO_TR;NO_TR
bible;bible;NO_TR;NO_TR
rozkoszuj;enjoy;NO_TR;NO_TR
pączkami;donuts;NO_TR;NO_TR
żółci;bile;NO_TR;NO_TR
sterydach;steroids;NO_TR;NO_TR
pojawiam;I appear;NO_TR;NO_TR
valentina;valentina;NO_TR;NO_TR
meksykiem;Mexico;NO_TR;NO_TR
zidentyfikujemy;we will identify;NO_TR;NO_TR
stafford;stafford;NO_TR;NO_TR
testowanie;testing;NO_TR;NO_TR
ochraniam;I protect;NO_TR;NO_TR
kowal;blacksmith;NO_TR;NO_TR
łatwiznę;easy;NO_TR;NO_TR
stwórcę;creator;NO_TR;NO_TR
konserwatorium;conservatory;NO_TR;NO_TR
bobbiego;bobbie;NO_TR;NO_TR
drummond;drummond;NO_TR;NO_TR
pieprze;peppers;NO_TR;NO_TR
zaplecza;back office;NO_TR;NO_TR
horrory;horror movies;NO_TR;NO_TR
tradycyjnym;traditional;NO_TR;NO_TR
wstawiony;inserted;NO_TR;NO_TR
profesjonalnego;professional;NO_TR;NO_TR
ogarnę;I will embrace;NO_TR;NO_TR
zawaliłeś;you failed;NO_TR;NO_TR
popęd;impulse;NO_TR;NO_TR
odpuściła;let go;NO_TR;NO_TR
obieca;promise;NO_TR;NO_TR
manto;spank;NO_TR;NO_TR
rękawiczkę;a glove;NO_TR;NO_TR
silasa;sila;NO_TR;NO_TR
przeciętnie;on average;NO_TR;NO_TR
howardem;howard;NO_TR;NO_TR
absolutny;absolute;NO_TR;NO_TR
rozpoznawanie;recognition;NO_TR;NO_TR
uczty;feast;NO_TR;NO_TR
jajniki;ovaries;NO_TR;NO_TR
bahamach;Bahamas;NO_TR;NO_TR
puszczamy;we let go;NO_TR;NO_TR
rabat;discount;NO_TR;NO_TR
skrupulatny;meticulous;NO_TR;NO_TR
maverick;maverick;NO_TR;NO_TR
prawniczy;legal;NO_TR;NO_TR
muzyczną;music;NO_TR;NO_TR
wskoczyłem;I jumped in;NO_TR;NO_TR
kupujecie;you buy;NO_TR;NO_TR
uzyskaliśmy;we have obtained;NO_TR;NO_TR
wypchane;stuffed;NO_TR;NO_TR
pozdro;Greetings;NO_TR;NO_TR
gave;gave;NO_TR;NO_TR
loganem;logan;NO_TR;NO_TR
traciła;was losing;NO_TR;NO_TR
umieściłam;I put;NO_TR;NO_TR
zasugerowała;she suggested;NO_TR;NO_TR
ciastkami;cookies;NO_TR;NO_TR
halucynacja;hallucination;NO_TR;NO_TR
wyjaśniłeś;you explained;NO_TR;NO_TR
wściekliznę;rabies;NO_TR;NO_TR
oświecenie;enlightenment;NO_TR;NO_TR
ćpunka;junkie;NO_TR;NO_TR
sypiamy;we sleep;NO_TR;NO_TR
meksykańskim;Mexican;NO_TR;NO_TR
oddzwaniasz;you call back;NO_TR;NO_TR
rozsiane;scattered;NO_TR;NO_TR
pozno;late;NO_TR;NO_TR
cholernymi;bloody;NO_TR;NO_TR
klocka;block;NO_TR;NO_TR
along;along;NO_TR;NO_TR
grover;Grover;NO_TR;NO_TR
zmyj;wash away;NO_TR;NO_TR
boskich;divine;NO_TR;NO_TR
podkład;underlay;NO_TR;NO_TR
kaftan;jacket;NO_TR;NO_TR
fedcba;Fedcba;NO_TR;NO_TR
wiceprezesem;vice president;NO_TR;NO_TR
paranormalnych;paranormal;NO_TR;NO_TR
zegnaj;goodbye;NO_TR;NO_TR
doświadczamy;we experience;NO_TR;NO_TR
zwariowanego;crazy;NO_TR;NO_TR
golfowego;golf;NO_TR;NO_TR
stresujesz;you stress;NO_TR;NO_TR
szajsu;crap;NO_TR;NO_TR
zegarem;clock;NO_TR;NO_TR
darzy;gives;NO_TR;NO_TR
hazardzista;gambler;NO_TR;NO_TR
zasranej;shitty;NO_TR;NO_TR
rampę;ramp;NO_TR;NO_TR
wznieś;raise;NO_TR;NO_TR
cabe;cabin;NO_TR;NO_TR
dynamics;dynamics;NO_TR;NO_TR
plecaki;backpacks;NO_TR;NO_TR
ksywę;nickname;NO_TR;NO_TR
posadził;planted;NO_TR;NO_TR
lucía;lucia;NO_TR;NO_TR
ferii;holidays;NO_TR;NO_TR
szukac;to look for;NO_TR;NO_TR
wstydliwy;shy;NO_TR;NO_TR
akash;akash;NO_TR;NO_TR
ruletkę;roulette;NO_TR;NO_TR
dakocie;dakota;NO_TR;NO_TR
widzia;sees;NO_TR;NO_TR
wężami;snakes;NO_TR;NO_TR
owinąć;wrap;NO_TR;NO_TR
przysięgałeś;you swore;NO_TR;NO_TR
rezerwowych;reserve;NO_TR;NO_TR
jagodami;blueberries;NO_TR;NO_TR
token;token;NO_TR;NO_TR
pożywić;feed;NO_TR;NO_TR
zwiększył;increased;NO_TR;NO_TR
balowej;ballroom;NO_TR;NO_TR
trenerowi;coach;NO_TR;NO_TR
prawowitym;rightful;NO_TR;NO_TR
żadni;hind;NO_TR;NO_TR
kłutych;pierced;NO_TR;NO_TR
priscilla;priscilla;NO_TR;NO_TR
piguły;pills;NO_TR;NO_TR
polk;polk;NO_TR;NO_TR
zaznacz;mark;NO_TR;NO_TR
komar;mosquito;NO_TR;NO_TR
fondue;fondues;NO_TR;NO_TR
zdając;passing;NO_TR;NO_TR
szalała;she was raging;NO_TR;NO_TR
pozostawiła;she left;NO_TR;NO_TR
opiszę;I will describe;NO_TR;NO_TR
cegłą;brick;NO_TR;NO_TR
obcięli;they cut;NO_TR;NO_TR
pyle;dust;NO_TR;NO_TR
risotto;Risotto;NO_TR;NO_TR
zaległe;overdue;NO_TR;NO_TR
napadnięta;assaulted;NO_TR;NO_TR
krótszy;a shorter;NO_TR;NO_TR
opartą;based;NO_TR;NO_TR
phi;phi;NO_TR;NO_TR
palestry;bar;NO_TR;NO_TR
nader;extremely;NO_TR;NO_TR
pożarowy;fire;NO_TR;NO_TR
sanitariuszem;a paramedic;NO_TR;NO_TR
lachociąg;cocksucker;NO_TR;NO_TR
biurokraci;bureaucrats;NO_TR;NO_TR
penthouse;penthouse;NO_TR;NO_TR
spadając;falling;NO_TR;NO_TR
browara;brewery;NO_TR;NO_TR
policjantki;policewomen;NO_TR;NO_TR
pilotował;piloted;NO_TR;NO_TR
linds;Linds;NO_TR;NO_TR
więziennictwa;prison system;NO_TR;NO_TR
przyłapałeś;you caught;NO_TR;NO_TR
uszkodzeniu;damaged;NO_TR;NO_TR
okłamiesz;you lie;NO_TR;NO_TR
posunięcia;moves;NO_TR;NO_TR
widza;viewer;NO_TR;NO_TR
szanowana;respected;NO_TR;NO_TR
powstrzymywało;held back;NO_TR;NO_TR
wysadzisz;you blow up;NO_TR;NO_TR
macicę;uterus;NO_TR;NO_TR
urodą;beauty;NO_TR;NO_TR
waleczny;brave;NO_TR;NO_TR
najsilniejsi;the strongest;NO_TR;NO_TR
greka;Greek;NO_TR;NO_TR
poruszanie;moving;NO_TR;NO_TR
samców;males;NO_TR;NO_TR
jock;jock;NO_TR;NO_TR
teledysku;music video;NO_TR;NO_TR
clarissa;clarissa;NO_TR;NO_TR
przebywasz;you are staying;NO_TR;NO_TR
fontaine;fontaine;NO_TR;NO_TR
dawką;dose;NO_TR;NO_TR
kpiny;mockery;NO_TR;NO_TR
bolesnych;painful;NO_TR;NO_TR
najładniejsza;the prettiest;NO_TR;NO_TR
poradzili;they did;NO_TR;NO_TR
orzecha;nut;NO_TR;NO_TR
wystawiają;they exhibit;NO_TR;NO_TR
potępienia;condemnation;NO_TR;NO_TR
zgodziłbym;I would agree;NO_TR;NO_TR
ubranka;clothes;NO_TR;NO_TR
goddard;Goddard;NO_TR;NO_TR
creme;cream;NO_TR;NO_TR
breeland;breeland;NO_TR;NO_TR
nowojorski;New York;NO_TR;NO_TR
chou;chou;NO_TR;NO_TR
zdobywam;get;NO_TR;NO_TR
delektować;savor;NO_TR;NO_TR
taaaak;yeah;NO_TR;NO_TR
wypełnisz;you will fill;NO_TR;NO_TR
crocker;crocker;NO_TR;NO_TR
głupiutki;silly;NO_TR;NO_TR
zadźgał;stabbed;NO_TR;NO_TR
adebisi;adebis;NO_TR;NO_TR
wtargnął;intruded;NO_TR;NO_TR
karne;penalty;NO_TR;NO_TR
komórkowym;mobile;NO_TR;NO_TR
spisali;they wrote;NO_TR;NO_TR
przeciwnikami;opponents;NO_TR;NO_TR
wylecimy;we will fly out;NO_TR;NO_TR
koktajli;cocktails;NO_TR;NO_TR
próbowanie;trying;NO_TR;NO_TR
ławnicy;jury;NO_TR;NO_TR
valeria;valeria;NO_TR;NO_TR
autorzy;authors;NO_TR;NO_TR
yung;yung;NO_TR;NO_TR
działających;operating;NO_TR;NO_TR
prawi;right;NO_TR;NO_TR
początkowe;initial;NO_TR;NO_TR
zgrać;rip;NO_TR;NO_TR
borgia;borgia;NO_TR;NO_TR
łacinę;Latin;NO_TR;NO_TR
stwarzać;create;NO_TR;NO_TR
pompejusz;pompey;NO_TR;NO_TR
catering;catering;NO_TR;NO_TR
lufa;barrel;NO_TR;NO_TR
pistoletami;guns;NO_TR;NO_TR
radca;adviser;NO_TR;NO_TR
zastępcza;substitute;NO_TR;NO_TR
wygasa;expires;NO_TR;NO_TR
madryt;Madrid;NO_TR;NO_TR
zranienia;injuries;NO_TR;NO_TR
rzygi;puke;NO_TR;NO_TR
wibruje;vibrates;NO_TR;NO_TR
witają;welcome;NO_TR;NO_TR
ratują;they save;NO_TR;NO_TR
ernst;ernst;NO_TR;NO_TR
wyznaczone;designated;NO_TR;NO_TR
alley;alley;NO_TR;NO_TR
drobniaki;change;NO_TR;NO_TR
inwestora;investor;NO_TR;NO_TR
sumą;sum;NO_TR;NO_TR
cieple;warm;NO_TR;NO_TR
szlachcic;nobleman;NO_TR;NO_TR
milczący;silent;NO_TR;NO_TR
zaoszczędzi;will save;NO_TR;NO_TR
skrycie;secretly;NO_TR;NO_TR
madii;madia;NO_TR;NO_TR
stawi;bet;NO_TR;NO_TR
chodu;gait;NO_TR;NO_TR
dziedzictwem;heritage;NO_TR;NO_TR
dokumencie;document;NO_TR;NO_TR
przekazujemy;we transfer;NO_TR;NO_TR
rentę;pension;NO_TR;NO_TR
wykłada;lectures;NO_TR;NO_TR
zarzuca;accuses;NO_TR;NO_TR
sprzedawczyni;saleswoman;NO_TR;NO_TR
klapsy;spanking;NO_TR;NO_TR
wrogiego;hostile;NO_TR;NO_TR
terrorystycznego;terrorist;NO_TR;NO_TR
powłokę;coating;NO_TR;NO_TR
maskotki;mascots;NO_TR;NO_TR
fantastycznym;fantastic;NO_TR;NO_TR
słyszało;heard;NO_TR;NO_TR
alright;okay;NO_TR;NO_TR
garniturów;suits;NO_TR;NO_TR
srasz;you shit;NO_TR;NO_TR
lisz;fox;NO_TR;NO_TR
nieczysta;unclean;NO_TR;NO_TR
usłyszeniu;hearing;NO_TR;NO_TR
seksownych;sexy;NO_TR;NO_TR
zagładzie;annihilation;NO_TR;NO_TR
ryzykowała;she risked;NO_TR;NO_TR
linki;links;NO_TR;NO_TR
zbiegi;fugitives;NO_TR;NO_TR
waginę;vagina;NO_TR;NO_TR
weterana;veteran;NO_TR;NO_TR
drewniana;wooden;NO_TR;NO_TR
kolonistów;colonists;NO_TR;NO_TR
przetrwaniu;survival;NO_TR;NO_TR
nuklearnym;nuclear;NO_TR;NO_TR
utrzymujcie;keep;NO_TR;NO_TR
smakowały;they tasted;NO_TR;NO_TR
dystrybucja;distribution;NO_TR;NO_TR
kciukiem;with your thumb;NO_TR;NO_TR
solidnego;solid;NO_TR;NO_TR
żartowaliśmy;we were joking;NO_TR;NO_TR
wstecznym;retrograde;NO_TR;NO_TR
zdejmujemy;we take off;NO_TR;NO_TR
zmartwychwstania;resurrection;NO_TR;NO_TR
trzynastu;thirteen;NO_TR;NO_TR
księżno;princess;NO_TR;NO_TR
wygrzebać;dig up;NO_TR;NO_TR
dojrzale;mature;NO_TR;NO_TR
zerowe;zero;NO_TR;NO_TR
gustavo;gustavo;NO_TR;NO_TR
wykręć;dial;NO_TR;NO_TR
aniołka;angel;NO_TR;NO_TR
dobiorę;I will draw;NO_TR;NO_TR
sąsiedniego;neighboring;NO_TR;NO_TR
młyna;mill;NO_TR;NO_TR
larwa;larva;NO_TR;NO_TR
służyło;served;NO_TR;NO_TR
pojedynczej;single;NO_TR;NO_TR
powszedni;everyday;NO_TR;NO_TR
nosorożca;rhinoceros;NO_TR;NO_TR
orki;killer whales;NO_TR;NO_TR
niechęci;resentment;NO_TR;NO_TR
dzielnic;districts;NO_TR;NO_TR
książęta;princes;NO_TR;NO_TR
kartonie;cardboard;NO_TR;NO_TR
dol;hole;NO_TR;NO_TR
opisujesz;you describe;NO_TR;NO_TR
bama;bam;NO_TR;NO_TR
rzędy;rows;NO_TR;NO_TR
dyplomatów;diplomats;NO_TR;NO_TR
zgłaszają;they report;NO_TR;NO_TR
dotarcia;reaching;NO_TR;NO_TR
wypływają;flow out;NO_TR;NO_TR
czasopiśmie;magazine;NO_TR;NO_TR
pakował;was packing;NO_TR;NO_TR
denzel;Denzel;NO_TR;NO_TR
gwizdka;whistle;NO_TR;NO_TR
bern;bern;NO_TR;NO_TR
poddano;surrendered;NO_TR;NO_TR
niebiańskie;heavenly;NO_TR;NO_TR
cannon;canon;NO_TR;NO_TR
pobierzecie;you will download;NO_TR;NO_TR
myśliwca;fighter;NO_TR;NO_TR
spowodowałem;I caused;NO_TR;NO_TR
niesiesz;you carry;NO_TR;NO_TR
pralka;washing machine;NO_TR;NO_TR
połapać;catch;NO_TR;NO_TR
parszywa;lousy;NO_TR;NO_TR
wypoczynku;rest;NO_TR;NO_TR
prości;simple;NO_TR;NO_TR
żabą;frog;NO_TR;NO_TR
helga;helga;NO_TR;NO_TR
ateistą;atheist;NO_TR;NO_TR
ocalały;survivor;NO_TR;NO_TR
tybetu;Tibet;NO_TR;NO_TR
zadowolenia;satisfaction;NO_TR;NO_TR
wypełnimy;we will fill;NO_TR;NO_TR
rozdzielczej;dashboard;NO_TR;NO_TR
yup;yup;NO_TR;NO_TR
niemieccy;German;NO_TR;NO_TR
zjawy;apparitions;NO_TR;NO_TR
twórczości;creativity;NO_TR;NO_TR
corbett;corbett;NO_TR;NO_TR
smalls;smalls;NO_TR;NO_TR
wybadać;explore;NO_TR;NO_TR
kolońska;cologne;NO_TR;NO_TR
egzaminach;exams;NO_TR;NO_TR
sądów;courts;NO_TR;NO_TR
twierdziłeś;you claimed;NO_TR;NO_TR
woził;was driving;NO_TR;NO_TR
cissy;sissy;NO_TR;NO_TR
fuhrer;fuhrer;NO_TR;NO_TR
niewiniątka;innocent;NO_TR;NO_TR
porządeczku;all right;NO_TR;NO_TR
potwierdziliśmy;we confirmed;NO_TR;NO_TR
strzykawka;syringe;NO_TR;NO_TR
zawracają;turn back;NO_TR;NO_TR
cenimy;we appreciate;NO_TR;NO_TR
spierdoliłeś;you fucked up;NO_TR;NO_TR
goin;goin;NO_TR;NO_TR
zasrana;shitty;NO_TR;NO_TR
klik;click;NO_TR;NO_TR
nemezis;nemesis;NO_TR;NO_TR
niepokonani;undefeated;NO_TR;NO_TR
namyśli;mean;NO_TR;NO_TR
żyrandol;chandelier;NO_TR;NO_TR
zarejestrował;registered;NO_TR;NO_TR
płakali;they cried;NO_TR;NO_TR
jedż;eat;NO_TR;NO_TR
corps;corps;NO_TR;NO_TR
gob;gob;NO_TR;NO_TR
sztabek;ingots;NO_TR;NO_TR
niesłychanie;extremely;NO_TR;NO_TR
muzykami;musicians;NO_TR;NO_TR
namawia;urges;NO_TR;NO_TR
przyzwyczaję;I'll get used to it;NO_TR;NO_TR
wyrzuceni;kicked out;NO_TR;NO_TR
wydostałem;I got out;NO_TR;NO_TR
mediolanie;milan;NO_TR;NO_TR
zrujnowanie;ruin;NO_TR;NO_TR
próbnym;trial;NO_TR;NO_TR
cnót;virtues;NO_TR;NO_TR
grożono;threatened;NO_TR;NO_TR
britta;britta;NO_TR;NO_TR
macica;uterus;NO_TR;NO_TR
nudziarzem;boring;NO_TR;NO_TR
zapomniec;forget;NO_TR;NO_TR
wylądowaniu;landing;NO_TR;NO_TR
dopłynąć;swim;NO_TR;NO_TR
pogromczynią;a slayer;NO_TR;NO_TR
odlotowe;cool;NO_TR;NO_TR
identyfikatory;identifiers;NO_TR;NO_TR
oddaną;devoted;NO_TR;NO_TR
wyborczej;electoral;NO_TR;NO_TR
zbudzić;wake up;NO_TR;NO_TR
brudni;dirty;NO_TR;NO_TR
uczestnictwo;participation;NO_TR;NO_TR
pomarańcza;orange;NO_TR;NO_TR
hałasuje;makes noise;NO_TR;NO_TR
plastyczne;plastic;NO_TR;NO_TR
wlazłeś;you got in;NO_TR;NO_TR
pukał;knocked;NO_TR;NO_TR
sympatia;liking;NO_TR;NO_TR
wprowadziłaś;you entered;NO_TR;NO_TR
sceptyczny;skeptical;NO_TR;NO_TR
sterowane;controlled;NO_TR;NO_TR
dedykowany;dedicated;NO_TR;NO_TR
schrzanił;screwed up;NO_TR;NO_TR
dil;deal;NO_TR;NO_TR
uczelnie;universities;NO_TR;NO_TR
cup;cup;NO_TR;NO_TR
alfabetycznie;alphabetically;NO_TR;NO_TR
armand;armand;NO_TR;NO_TR
victorem;victor;NO_TR;NO_TR
uparł;insisted;NO_TR;NO_TR
sisters;sisters;NO_TR;NO_TR
levy;left;NO_TR;NO_TR
ojejku;my dear;NO_TR;NO_TR
puszczał;let go;NO_TR;NO_TR
gosc;guest;NO_TR;NO_TR
zapoznał;acquainted;NO_TR;NO_TR
pęcherza;bladder;NO_TR;NO_TR
perskiej;persian;NO_TR;NO_TR
podrobić;forge;NO_TR;NO_TR
tami;there;NO_TR;NO_TR
odpływamy;we're leaving;NO_TR;NO_TR
nazywałeś;you called;NO_TR;NO_TR
booker;booker;NO_TR;NO_TR
wzywasz;you call;NO_TR;NO_TR
hipisów;hippies;NO_TR;NO_TR
hakerzy;hackers;NO_TR;NO_TR
mitzvah;mitzvah;NO_TR;NO_TR
najpotężniejszych;the most powerful;NO_TR;NO_TR
okazjach;occasions;NO_TR;NO_TR
garber;tanner;NO_TR;NO_TR
przekład;translation;NO_TR;NO_TR
daytona;daytona;NO_TR;NO_TR
czerpią;they draw;NO_TR;NO_TR
złodziejka;thief;NO_TR;NO_TR
wdów;widows;NO_TR;NO_TR
fad;fad;NO_TR;NO_TR
promyk;ray;NO_TR;NO_TR
przeglądając;browsing;NO_TR;NO_TR
bramkarzem;goalkeeper;NO_TR;NO_TR
odchodząc;leaving;NO_TR;NO_TR
kaye;kaye;NO_TR;NO_TR
emory;emory;NO_TR;NO_TR
wskoczysz;you jump;NO_TR;NO_TR
podatkami;taxes;NO_TR;NO_TR
żeńskiego;female;NO_TR;NO_TR
flamingo;flamingo;NO_TR;NO_TR
raleigh;raleigh;NO_TR;NO_TR
przydzielona;assigned;NO_TR;NO_TR
ujścia;mouth;NO_TR;NO_TR
ciaśniej;tighter;NO_TR;NO_TR
łokciem;elbow;NO_TR;NO_TR
wysłuchajmy;let's listen;NO_TR;NO_TR
ręczną;manual;NO_TR;NO_TR
zostawaj;stay;NO_TR;NO_TR
martwiło;worried;NO_TR;NO_TR
wygnać;banish;NO_TR;NO_TR
unikałem;I avoided;NO_TR;NO_TR
powitalne;welcome;NO_TR;NO_TR
zjesc;eat;NO_TR;NO_TR
plastycznych;plastic;NO_TR;NO_TR
utonie;I will drown;NO_TR;NO_TR
logiką;logic;NO_TR;NO_TR
genu;gene;NO_TR;NO_TR
włączą;turn on;NO_TR;NO_TR
dogania;catches up;NO_TR;NO_TR
amputacji;amputation;NO_TR;NO_TR
grającą;playing;NO_TR;NO_TR
gory;mountains;NO_TR;NO_TR
gadając;talking;NO_TR;NO_TR
ciągnę;I pull;NO_TR;NO_TR
militarne;military;NO_TR;NO_TR
niezastąpiony;irreplaceable;NO_TR;NO_TR
piotrusia;Peter;NO_TR;NO_TR
rozwiać;dispel;NO_TR;NO_TR
przemyśli;will think;NO_TR;NO_TR
owy;new;NO_TR;NO_TR
wściekam;I'm furious;NO_TR;NO_TR
sprowadzą;will bring;NO_TR;NO_TR
minerały;minerals;NO_TR;NO_TR
porzuci;abandon;NO_TR;NO_TR
uratowac;save;NO_TR;NO_TR
depozytowej;deposit;NO_TR;NO_TR
brakło;was missing;NO_TR;NO_TR
harkness;harkness;NO_TR;NO_TR
płynne;liquid;NO_TR;NO_TR
komórkowej;mobile;NO_TR;NO_TR
intubować;intubate;NO_TR;NO_TR
dębu;oak;NO_TR;NO_TR
jeleni;deer;NO_TR;NO_TR
hibernacji;hibernation;NO_TR;NO_TR
tandy;tandy;NO_TR;NO_TR
przekazany;handed over;NO_TR;NO_TR
znęcać;bully;NO_TR;NO_TR
yao;yao;NO_TR;NO_TR
życzcie;wish;NO_TR;NO_TR
wahanie;hesitation;NO_TR;NO_TR
zamieniłaś;you changed;NO_TR;NO_TR
łaził;bathed;NO_TR;NO_TR
malarstwo;painting;NO_TR;NO_TR
masakrze;massacre;NO_TR;NO_TR
uczennicę;schoolgirl;NO_TR;NO_TR
rozważałeś;you considered;NO_TR;NO_TR
wystawimy;we will exhibit;NO_TR;NO_TR
jooboo;jooboo;NO_TR;NO_TR
guo;guo;NO_TR;NO_TR
wołałam;I called;NO_TR;NO_TR
sahib;sahib;NO_TR;NO_TR
rogami;horns;NO_TR;NO_TR
tyrell;Tyrell;NO_TR;NO_TR
livingston;livingston;NO_TR;NO_TR
przemianie;transformation;NO_TR;NO_TR
prześladowcą;persecutor;NO_TR;NO_TR
sięgał;reached;NO_TR;NO_TR
arbuza;watermelon;NO_TR;NO_TR
zbiegły;fugitive;NO_TR;NO_TR
apaczów;Apaches;NO_TR;NO_TR
pobudki;wake-up calls;NO_TR;NO_TR
psychiatrzy;psychiatrists;NO_TR;NO_TR
wymarzona;dreamy;NO_TR;NO_TR
kulką;ball;NO_TR;NO_TR
harlem;harlem;NO_TR;NO_TR
olśniło;it dawned;NO_TR;NO_TR
wisteria;wisteria;NO_TR;NO_TR
klauzula;clause;NO_TR;NO_TR
sokka;juice;NO_TR;NO_TR
zatracić;lose;NO_TR;NO_TR
widzom;viewers;NO_TR;NO_TR
alden;aldene;NO_TR;NO_TR
czesci;parts;NO_TR;NO_TR
nabrało;it took;NO_TR;NO_TR
dziewiątą;ninth;NO_TR;NO_TR
wędrówka;hike;NO_TR;NO_TR
radiowozy;police cars;NO_TR;NO_TR
opracowałem;I developed;NO_TR;NO_TR
gonzo;gonzo;NO_TR;NO_TR
zażąda;will demand;NO_TR;NO_TR
wpędzić;drive in;NO_TR;NO_TR
regiment;regiment;NO_TR;NO_TR
galę;gala;NO_TR;NO_TR
ochronisz;you will protect;NO_TR;NO_TR
zdrajcami;traitors;NO_TR;NO_TR
wykończysz;you finish;NO_TR;NO_TR
kazaliśmy;we ordered;NO_TR;NO_TR
arogancka;arrogant;NO_TR;NO_TR
jurysdykcję;jurisdiction;NO_TR;NO_TR
pompejusza;pompey;NO_TR;NO_TR
wyrosną;they will grow up;NO_TR;NO_TR
burcie;broadside;NO_TR;NO_TR
pociskiem;bullet;NO_TR;NO_TR
tygrysów;tigers;NO_TR;NO_TR
biopsja;biopsy;NO_TR;NO_TR
sylwetkę;figure;NO_TR;NO_TR
wystraszysz;you will scare;NO_TR;NO_TR
wachlarz;range;NO_TR;NO_TR
dobroczynności;charity;NO_TR;NO_TR
odbiorcy;recipient;NO_TR;NO_TR
czynimy;we do;NO_TR;NO_TR
bransoletę;bracelet;NO_TR;NO_TR
czynem;by deed;NO_TR;NO_TR
garry;garry;NO_TR;NO_TR
operują;operate;NO_TR;NO_TR
ostrzegawcze;warning;NO_TR;NO_TR
rozwinęła;developed;NO_TR;NO_TR
piany;foam;NO_TR;NO_TR
potwornego;monstrous;NO_TR;NO_TR
cukrzykiem;diabetic;NO_TR;NO_TR
antoni;anthony;NO_TR;NO_TR
luciano;luciano;NO_TR;NO_TR
stempel;stamp;NO_TR;NO_TR
porabiacie;you are doing;NO_TR;NO_TR
skurczybyki;bastards;NO_TR;NO_TR
patricku;patrick;NO_TR;NO_TR
dołączyłaś;you joined;NO_TR;NO_TR
transfuzję;transfusion;NO_TR;NO_TR
johanna;johanna;NO_TR;NO_TR
siatką;net;NO_TR;NO_TR
rewelacyjny;sensational;NO_TR;NO_TR
finansowanie;financing;NO_TR;NO_TR
pokładam;I put;NO_TR;NO_TR
rozbitkowie;shipwrecked;NO_TR;NO_TR
mitu;myth;NO_TR;NO_TR
żab;tooth;NO_TR;NO_TR
elektronicznych;electronic;NO_TR;NO_TR
zmodyfikowany;modified;NO_TR;NO_TR
odrzutowca;jet;NO_TR;NO_TR
ochrzczony;baptized;NO_TR;NO_TR
minnesota;minnesota;NO_TR;NO_TR
założonymi;founded;NO_TR;NO_TR
wydrukuj;print;NO_TR;NO_TR
darrell;darrell;NO_TR;NO_TR
gazetami;newspapers;NO_TR;NO_TR
obręcz;hoop;NO_TR;NO_TR
rozlał;spilled;NO_TR;NO_TR
karp;carp;NO_TR;NO_TR
pozbywać;get rid of;NO_TR;NO_TR
rudą;ore;NO_TR;NO_TR
wolfgang;wolfgang;NO_TR;NO_TR
nieaktualne;outdated;NO_TR;NO_TR
płomienia;flame;NO_TR;NO_TR
siri;siri;NO_TR;NO_TR
alanie;alan;NO_TR;NO_TR
bite;beaten;NO_TR;NO_TR
biznesową;business;NO_TR;NO_TR
grandview;grand view;NO_TR;NO_TR
niedoskonałości;imperfections;NO_TR;NO_TR
oczywi;of course;NO_TR;NO_TR
masowa;massive;NO_TR;NO_TR
ręcznikiem;with a towel;NO_TR;NO_TR
następująco;as follows;NO_TR;NO_TR
codzienny;daily;NO_TR;NO_TR
zabawi;will entertain;NO_TR;NO_TR
tora;Torah;NO_TR;NO_TR
zapobiegać;to prevent;NO_TR;NO_TR
rozbiorę;I will disassemble;NO_TR;NO_TR
normalność;normality;NO_TR;NO_TR
wiódł;led;NO_TR;NO_TR
przedstawień;performances;NO_TR;NO_TR
tylnie;back;NO_TR;NO_TR
mouch;mouch;NO_TR;NO_TR
forget;forget;NO_TR;NO_TR
przedstawiony;presented;NO_TR;NO_TR
realnego;real;NO_TR;NO_TR
łupem;prey;NO_TR;NO_TR
ośmieszyć;ridicule;NO_TR;NO_TR
związali;tied up;NO_TR;NO_TR
mccabe;mccabe;NO_TR;NO_TR
vir;vir;NO_TR;NO_TR
zetrzyj;wipe off;NO_TR;NO_TR
sprawiedliwych;the righteous;NO_TR;NO_TR
zaraźliwa;contagious;NO_TR;NO_TR
toastu;toast;NO_TR;NO_TR
najtrudniejszych;the hardest;NO_TR;NO_TR
podnoszenie;lifting;NO_TR;NO_TR
krypcie;the crypt;NO_TR;NO_TR
tragedie;tragedies;NO_TR;NO_TR
myślmy;let's think;NO_TR;NO_TR
amatora;amateur;NO_TR;NO_TR
dotykając;touching;NO_TR;NO_TR
feldman;fieldman;NO_TR;NO_TR
zaopatruje;supplies;NO_TR;NO_TR
kierujcie;guide;NO_TR;NO_TR
dade;I will;NO_TR;NO_TR
wypracować;work out;NO_TR;NO_TR
maroku;Morocco;NO_TR;NO_TR
przegraliście;you lost;NO_TR;NO_TR
fostera;foster;NO_TR;NO_TR
osiągnęłam;I achieved;NO_TR;NO_TR
radarem;radar;NO_TR;NO_TR
nazwanie;naming;NO_TR;NO_TR
fairview;fair view;NO_TR;NO_TR
błogosławione;blessed;NO_TR;NO_TR
smiley;smiley;NO_TR;NO_TR
przestępczą;criminal;NO_TR;NO_TR
ruszyłeś;you moved;NO_TR;NO_TR
zaczekała;she waited;NO_TR;NO_TR
faszyści;fascists;NO_TR;NO_TR
ocenił;assessed;NO_TR;NO_TR
pierd;fart;NO_TR;NO_TR
łyżeczka;teaspoon;NO_TR;NO_TR
